종목코드	기업명	업종
1380	SG충방	자동차 신품 부품 제조업
2360	SH에너지화학	기초 화학물질 제조업
9160	SIMPAC	특수 목적용 기계 제조업
34730	SK	금융업
232330	SK3호스팩	금융 지원 서비스업
307070	SK4호스팩	금융 지원 서비스업
11790	SKC	화학제품 제조업
57500	SKC 솔믹스	전자부품 제조업
178920	SKC코오롱PI	플라스틱제품 제조업
18670	SK가스	전문 도매업
1740	SK네트웍스	전문 도매업
6120	SK디스커버리	금융업
210980	SK디앤디	부동산 임대 및 공급업
36490	SK머티리얼즈	기초 화학물질 제조업
52260	SK바이오랜드	화학제품 제조업
96770	SK이노베이션	금융업
1510	SK증권	금융 지원 서비스업
285130	SK케미칼	합성고무 및 플라스틱 물질 제조업
17670	SK텔레콤	전기 통신업
660	SK하이닉스	반도체 제조업
48550	SM C&C	"영화, 비디오물, 방송프로그램 제작 및 배급업"
63440	SM Life Design	기록매체 복제업
5610	SPC삼립	식품 제조업
11810	STX	상품 종합 도매업
77970	STX엔진	일반 목적용 기계 제조업
71970	STX중공업	일반 목적용 기계 제조업
289080	SV인베스트먼트	금융업
2710	TCC동양	1차 철강 제조업
89230	THE E&M	정보 서비스업
161570	THE MIDONG	영상 및 음향기기 제조업
32540	TJ미디어	영상 및 음향기기 제조업
48770	TPC	일반 목적용 기계 제조업
284610	TS트릴리온	화학제품 제조업
38340	UCI	일반 교습 학원
73570	WI	특수 목적용 기계 제조업
24070	WISCOM	플라스틱제품 제조업
52300	W홀딩컴퍼니	운송관련 서비스업
37270	YG PLUS	"인형,장난감 및 오락용품 제조업"
40300	YTN	"영화, 비디오물, 방송프로그램 제작 및 배급업"
51390	YW	상품 종합 도매업
52220	iMBC	"자료처리, 호스팅, 포털 및 인터넷 정보매개 서비스업"
79940	가비아	소프트웨어 개발 및 공급업
78890	가온미디어	통신 및 방송 장비 제조업
500	가온전선	절연선 및 케이블 제조업
192410	감마누	통신 및 방송 장비 제조업
