종목코드	기업명	업종
219420	링크제니시스	소프트웨어 개발 및 공급업
27740	마니커	"도축, 육류 가공 및 저장 처리업"
98120	마이크로컨텍솔	전자부품 제조업
227950	마이크로텍	특수 목적용 기계 제조업
147760	마이크로프랜드	"측정, 시험, 항해, 제어 및 정밀기기 제조업; 광학기기 제외"
35480	마제스타	유원지 및 오락관련 서비스업
38290	마크로젠	"그외 전문, 과학 및 기술 서비스업"
204320	만도	자동차 신품 부품 제조업
1080	만호제강	1차 철강 제조업
267980	매일유업	낙농제품 및 식용빙과류 제조업
5990	매일홀딩스	금융업
127160	매직마이크로	전자부품 제조업
93520	매커스	기계장비 및 관련 물품 도매업
141070	맥스로텍	특수 목적용 기계 제조업
88980	맥쿼리인프라	신탁업 및 집합투자업
94800	맵스리얼티1	신탁업 및 집합투자업
100590	머큐리	통신 및 방송 장비 제조업
67280	멀티캠퍼스	교육기관
72870	메가스터디	"서적, 잡지 및 인쇄물 출판업"
215200	메가스터디교육	일반 교습 학원
133750	메가엠디	일반 교습 학원
200580	메디쎄이	의료용 기기 제조업
41920	메디아나	의료용 기기 제조업
233250	메디안디노스틱	의료용품 및 의약 관련제품 제조업
236340	메디젠휴먼케어	자연과학 및 공학 연구개발업
86900	메디톡스	기초 의약물질 및 생물학적 제제 제조업
15540	메디파트너생명공학	사업지원 서비스업
78160	메디포스트	기초 의약물질 및 생물학적 제제 제조업
65650	메디프론	기계장비 및 관련 물품 도매업
138040	메리츠금융지주	금융업
8560	메리츠종금증권	금융 지원 서비스업
60	메리츠화재	보험업
21880	메이슨캐피탈	금융업
140410	메지온	자연과학 및 공학 연구개발업
241770	메카로	화학제품 제조업
90370	메타랩스	봉제의복 제조업
59210	메타바이오메드	의료용품 및 의약 관련제품 제조업
58110	멕아이씨에스	의료용 기기 제조업
96640	멜파스	전자부품 제조업
17180	명문제약	의약품 제조업
257370	명성티엔에스	특수 목적용 기계 제조업
267060	명진홀딩스	수산물 가공 및 저장 처리업
12690	모나리자	종이 및 판지 제품 제조업
5360	모나미	생활용품 도매업
149940	모다	통신 및 방송 장비 제조업
80420	모다이노칩	"섬유, 의복, 신발 및 가죽제품 소매업"
80160	모두투어	여행사 및 여행보조 서비스업
204210	모두투어리츠	부동산 임대 및 공급업
100030	모바일리더	소프트웨어 개발 및 공급업
87260	모바일어플라이언스	소프트웨어 개발 및 공급업
101330	모베이스	통신 및 방송 장비 제조업
250060	모비스	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
33200	모아텍	전자부품 제조업
9680	모토닉	자동차 신품 부품 제조업
118990	모트렉스	자동차 신품 부품 제조업
6920	모헨즈	"시멘트, 석회, 플라스터 및 그 제품 제조업"
9580	무림P&P	"펄프, 종이 및 판지 제조업"
1810	무림SP	"펄프, 종이 및 판지 제조업"
9200	무림페이퍼	"펄프, 종이 및 판지 제조업"
33920	무학	알코올음료 제조업
8420	문배철강	1차 철강 제조업
279600	미디어젠	소프트웨어 개발 및 공급업
28040	미래SCI	비금속 광물제품 제조업
95500	미래나노텍	플라스틱제품 제조업
25560	미래산업	"측정, 시험, 항해, 제어 및 정밀기기 제조업; 광학기기 제외"
218150	미래생명자원	동물용 사료 및 조제식품 제조업
7120	미래아이앤지	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
6800	미래에셋대우	금융 지원 서비스업
265480	미래에셋대우스팩1호	금융 지원 서비스업
310200	미래에셋대우스팩2호	금융 지원 서비스업
100790	미래에셋벤처투자	금융업
85620	미래에셋생명	보험업
239340	미래에셋제5호스팩	금융 지원 서비스업
49950	미래컴퍼니	특수 목적용 기계 제조업
213090	미래테크놀로지	소프트웨어 개발 및 공급업
207760	미스터블루	정보 서비스업
225850	미애부	생활용품 도매업
2840	미원상사	화학제품 제조업
268280	미원에스씨	기초 화학물질 제조업
107590	미원홀딩스	금융업
134380	미원화학	화학제품 제조업
3650	미창석유공업	석유 정제품 제조업
59090	미코	반도체 제조업
214610	미코바이오메드	의료용 기기 제조업
201490	미투온	소프트웨어 개발 및 공급업
214180	민앤지	정보 서비스업
155900	바다로19호	운송장비 임대업
206640	바디텍메드	의료용품 및 의약 관련제품 제조업
18700	바른손	"영화, 비디오물, 방송프로그램 제작 및 배급업"
35620	바른손이앤에이	소프트웨어 개발 및 공급업
64520	바른전자	반도체 제조업
29480	바른테크놀로지	통신 및 방송 장비 제조업
53030	바이넥스	의약품 제조업
84990	바이로메드	자연과학 및 공학 연구개발업
64550	바이오니아	의료용품 및 의약 관련제품 제조업
208710	바이오로그디바이스	전자부품 제조업
142760	바이오리더스	자연과학 및 공학 연구개발업
65940	바이오빌	기초 화학물질 제조업
86820	바이오솔루션	기초 의약물질 및 생물학적 제제 제조업
38460	바이오스마트	전자부품 제조업
281310	바이오시네틱스	자연과학 및 공학 연구개발업
44480	바이오제네틱스	고무제품 제조업
216400	바이오코아	자연과학 및 공학 연구개발업
86040	바이오톡스텍	자연과학 및 공학 연구개발업
199290	바이오프로테크	의료용 기기 제조업
32980	바이온	음·식료품 및 담배 도매업
222160	바이옵트로	"측정, 시험, 항해, 제어 및 정밀기기 제조업; 광학기기 제외"
43150	바텍	의료용 기기 제조업
3610	방림	직물직조 및 직물제품 제조업
267790	배럴	봉제의복 제조업
1340	백광산업	기초 화학물질 제조업
14580	백광소재	"시멘트, 석회, 플라스터 및 그 제품 제조업"
46310	백금T&A	통신 및 방송 장비 제조업
35150	백산	플라스틱제품 제조업
36620	버추얼텍	전문 도매업
66410	버킷스튜디오	"영화, 비디오물, 방송프로그램 제작 및 배급업"
2410	범양건영	건물 건설업
177350	베셀	특수 목적용 기계 제조업
299910	베스파	소프트웨어 개발 및 공급업
96300	베트남개발1	신탁업 및 집합투자업
7210	벽산	비금속 광물제품 제조업
225530	보광산업	비금속광물 광업
250000	보라티알	음·식료품 및 담배 도매업
2760	보락	화학제품 제조업
14100	보령메디앙스	화학제품 제조업
3850	보령제약	의약품 제조업
6910	보성파워텍	"구조용 금속제품, 탱크 및 증기발생기 제조업"
890	보해양조	알코올음료 제조업
226340	본느	화학제품 제조업
206950	볼빅	운동 및 경기용구 제조업
3000	부광약품	의약품 제조업
1270	부국증권	금융 지원 서비스업
26940	부국철강	1차 철강 제조업
14470	부방	금융업
15350	부산도시가스	연료용 가스 제조 및 배관공급업
11390	부산산업	"시멘트, 석회, 플라스터 및 그 제품 제조업"
5030	부산주공	자동차 신품 부품 제조업
8470	부스타	"구조용 금속제품, 탱크 및 증기발생기 제조업"
100120	뷰웍스	의료용 기기 제조업
66980	브레인콘텐츠	정보 서비스업
64480	브리지텍	소프트웨어 개발 및 공급업
251630	브이원텍	특수 목적용 기계 제조업
33560	블루콤	영상 및 음향기기 제조업
126340	비나텍	전자부품 제조업
121800	비덴트	통신 및 방송 장비 제조업
148140	비디아이	일반 목적용 기계 제조업
100220	비상교육	"서적, 잡지 및 인쇄물 출판업"
200780	비씨월드제약	의약품 제조업
141000	비아트론	특수 목적용 기계 제조업
90460	비에이치	전자부품 제조업
83650	비에이치아이	일반 목적용 기계 제조업
215050	비엔디생활건강	화학제품 제조업
271780	비엔에프코퍼레이션	1차 비철금속 제조업
86670	비엠티	일반 목적용 기계 제조업
138580	비즈니스온	소프트웨어 개발 및 공급업
82920	비츠로셀	일차전지 및 축전지 제조업
54220	비츠로시스	"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
42370	비츠로테크	금융업
32850	비트컴퓨터	소프트웨어 개발 및 공급업
148780	비플라이소프트	소프트웨어 개발 및 공급업
238200	비피도	식품 제조업
93190	빅솔론	컴퓨터 및 주변장치 제조업
65450	빅텍	"측정, 시험, 항해, 제어 및 정밀기기 제조업; 광학기기 제외"
210120	빅텐츠	"영화, 비디오물, 방송프로그램 제작 및 배급업"
5180	빙그레	낙농제품 및 식용빙과류 제조업
72950	빛샘전자	전자부품 제조업
143240	사람인에이치알	"자료처리, 호스팅, 포털 및 인터넷 정보매개 서비스업"
3960	사조대림	수산물 가공 및 저장 처리업
8040	사조동아원	"곡물가공품, 전분 및 전분제품 제조업"
7160	사조산업	어로 어업
14710	사조씨푸드	수산물 가공 및 저장 처리업
6090	사조오양	수산물 가공 및 저장 처리업
79660	사조해표	식품 제조업
100090	삼강엠앤티	1차 철강 제조업
5090	삼광글라스	유리 및 유리제품 제조업
122350	삼기오토모티브	자동차 신품 부품 제조업
14970	삼륭물산	"골판지, 종이 상자 및 종이용기 제조업"
18310	삼목에스폼	"구조용 금속제품, 탱크 및 증기발생기 제조업"
53700	삼보모터스	자동차 신품 부품 제조업
9620	삼보산업	1차 비철금속 제조업
23600	삼보판지	"펄프, 종이 및 판지 제조업"
111870	삼본정밀전자	영상 및 음향기기 제조업
1470	삼부토건	토목 건설업
6400	삼성SDI	일차전지 및 축전지 제조업
6660	삼성공조	자동차 신품 부품 제조업
309930	삼성머스트스팩3호	금융 지원 서비스업
28260	삼성물산	전문 도매업
207940	삼성바이오로직스	기초 의약물질 및 생물학적 제제 제조업
32830	삼성생명	보험업
291230	삼성스팩2호	금융 지원 서비스업
18260	삼성에스디에스	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
28050	삼성엔지니어링	"건축기술, 엔지니어링 및 관련 기술 서비스업"
9150	삼성전기	전자부품 제조업
5930	삼성전자	통신 및 방송 장비 제조업
1360	삼성제약	의약품 제조업
10140	삼성중공업	선박 및 보트 건조업
16360	삼성증권	금융 지원 서비스업
68290	삼성출판사	"서적, 잡지 및 인쇄물 출판업"
29780	삼성카드	금융업
810	삼성화재해상보험	보험업
6110	삼아알미늄	1차 비철금속 제조업
9300	삼아제약	의약품 제조업
145990	삼양사	식품 제조업
3230	삼양식품	식품 제조업
225190	삼양옵틱스	사진장비 및 광학기기 제조업
2170	삼양통상	"가죽, 가방 및 유사제품 제조업"
272550	삼양패키징	플라스틱제품 제조업
70	삼양홀딩스	금융업
2810	삼영무역	전문 도매업
54540	삼영엠텍	"구조용 금속제품, 탱크 및 증기발생기 제조업"
65570	삼영이엔씨	통신 및 방송 장비 제조업
5680	삼영전자공업	전자부품 제조업
3720	삼영화학공업	플라스틱제품 제조업
82660	삼우엠스	통신 및 방송 장비 제조업
23000	삼원강재	자동차 신품 부품 제조업
73640	삼원테크	금속 가공제품 제조업
4380	삼익THK	일반 목적용 기계 제조업
2450	삼익악기	악기 제조업
32280	삼일	도로 화물 운송업
2290	삼일기업공사	건물 건설업
520	삼일제약	의약품 제조업
9770	삼정펄프	"펄프, 종이 및 판지 제조업"
37460	삼지전자	통신 및 방송 장비 제조업
32750	삼진	통신 및 방송 장비 제조업
54090	삼진엘앤디	그외 제품 제조업
5500	삼진제약	의약품 제조업
250	삼천당제약	의약품 제조업
4690	삼천리	연료용 가스 제조 및 배관공급업
24950	삼천리자전거	생활용품 도매업
38500	삼표시멘트	비금속 광물제품 제조업
17480	삼현철강	1차 철강 제조업
1880	삼호	건물 건설업
10960	삼호개발	기반조성 및 시설물 축조관련 전문공사업
46390	삼화네트웍스	"영화, 비디오물, 방송프로그램 제작 및 배급업"
4450	삼화왕관	금속 가공제품 제조업
9470	삼화전기	전자부품 제조업
11230	삼화전자공업	영상 및 음향기기 제조업
1820	삼화콘덴서공업	전자부품 제조업
390	삼화페인트공업	화학제품 제조업
27580	상보	전자부품 제조업
38540	상상인	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
41650	상신브레이크	자동차 신품 부품 제조업
91580	상신이디피	일차전지 및 축전지 제조업
263810	상신전자	전자부품 제조업
89980	상아프론테크	플라스틱제품 제조업
42940	상지카일룸	전기 및 통신 공사업
42600	새로닉스	전자부품 제조업
75180	새론오토모티브	자동차 신품 부품 제조업
263540	샘코	"항공기,우주선 및 부품 제조업"
7540	샘표	금융업
248170	샘표식품	식품 제조업
38070	서린바이오	전문 도매업
6730	서부T&D	상품 종합 도매업
79650	서산	"시멘트, 석회, 플라스터 및 그 제품 제조업"
100660	서암기계공업	일반 목적용 기계 제조업
7860	서연	금융업
200880	서연이화	자동차 신품 부품 제조업
12860	서연전자	자동차 신품 부품 제조업
19770	서연탑메탈	특수 목적용 기계 제조업
17390	서울도시가스	연료용 가스 제조 및 배관공급업
43710	서울리거	광고업
46890	서울반도체	반도체 제조업
4410	서울식품공업	식품 제조업
63170	서울옥션	상품 중개업
27040	서울전자통신	그외 제품 제조업
18680	서울제약	의약품 제조업
21050	서원	금속 주조업
93920	서원인텍	통신 및 방송 장비 제조업
189860	서전기전	"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
178320	서진시스템	통신 및 방송 장비 제조업
122690	서진오토모티브	자동차 신품 부품 제조업
140070	서플러스글로벌	기계장비 및 관련 물품 도매업
11370	서한	건물 건설업
65710	서호전기	"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
8490	서흥	화학제품 제조업
35890	서희건설	건물 건설업
3100	선광	운송관련 서비스업
123420	선데이토즈	소프트웨어 개발 및 공급업
7610	선도전기	"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
67370	선바이오	의약품 제조업
171090	선익시스템	특수 목적용 기계 제조업
136490	선진	동물용 사료 및 조제식품 제조업
2820	선창산업	나무제품 제조업
14620	성광벤드	1차 철강 제조업
37350	성도이엔지	"건축기술, 엔지니어링 및 관련 기술 서비스업"
14910	성문전자	전자부품 제조업
3080	성보화학	"비료, 농약 및 살균, 살충제 제조업"
4980	성신양회	"시멘트, 석회, 플라스터 및 그 제품 제조업"
11300	성안	직물직조 및 직물제품 제조업
81580	성우전자	통신 및 방송 장비 제조업
45300	성우테크론	전자부품 제조업
15750	성우하이텍	자동차 신품 부품 제조업
180	성창기업지주	회사 본부 및 경영 컨설팅 서비스업
80470	성창오토텍	자동차 신품 부품 제조업
43260	성호전자	전자부품 제조업
2420	세기상사	"영화, 비디오물, 방송프로그램 제작 및 배급업"
53060	세동	자동차 신품 부품 제조업
17510	세명전기	금속 가공제품 제조업
214310	세미콘라이트	반도체 제조업
4360	세방	도로 화물 운송업
4490	세방전지	일차전지 및 축전지 제조업
11560	세보엠이씨	건물설비 설치 공사업
1430	세아베스틸	1차 철강 제조업
306200	세아제강	1차 철강 제조업
3030	세아제강지주	금융업
19440	세아특수강	1차 철강 제조업
58650	세아홀딩스	금융업
13000	세우글로벌	전문 도매업
100700	세운메디칼	의료용품 및 의약 관련제품 제조업
234100	세원	자동차 신품 부품 제조업
24830	세원물산	자동차 신품 부품 제조업
91090	세원셀론텍	"구조용 금속제품, 탱크 및 증기발생기 제조업"
21820	세원정공	자동차 신품 부품 제조업
67830	세이브존I&C	종합 소매업
33530	세종공업	자동차 신품 부품 제조업
135270	세종머티리얼즈	1차 비철금속 제조업
258830	세종메디칼	의료용 기기 제조업
36630	세종텔레콤	전기 통신업
39310	세중	여행사 및 여행보조 서비스업
75580	세진중공업	선박 및 보트 건조업
67770	세진티에스	전자부품 제조업
53450	세코닉스	사진장비 및 광학기기 제조업
27970	세하	"펄프, 종이 및 판지 제조업"
145210	세화아이엠씨	특수 목적용 기계 제조업
252500	세화피앤씨	화학제품 제조업
49180	셀루메드	기초 의약물질 및 생물학적 제제 제조업
299660	셀리드	자연과학 및 공학 연구개발업
268600	셀리버리	자연과학 및 공학 연구개발업
108860	셀바스AI	소프트웨어 개발 및 공급업
208370	셀바스헬스케어	의료용 기기 제조업
258250	셀젠텍	소프트웨어 개발 및 공급업
68270	셀트리온	기초 의약물질 및 생물학적 제제 제조업
68760	셀트리온제약	의약품 제조업
91990	셀트리온헬스케어	전문 도매업
53110	소리바다	"자료처리, 호스팅, 포털 및 인터넷 정보매개 서비스업"
32680	소프트센	기계장비 및 관련 물품 도매업
210610	소프트캠프	소프트웨어 개발 및 공급업
66910	손오공	"인형,장난감 및 오락용품 제조업"
43100	솔고바이오	의료용 기기 제조업
154040	솔루에타	전자부품 제조업
35610	솔본	회사 본부 및 경영 컨설팅 서비스업
36830	솔브레인	화학제품 제조업
230980	솔트웍스	소프트웨어 개발 및 공급업
4430	송원산업	화학제품 제조업
86980	쇼박스	"영화, 비디오물, 방송프로그램 제작 및 배급업"
50960	수산아이앤티	소프트웨어 개발 및 공급업
17550	수산중공업	특수 목적용 기계 제조업
84180	수성	일반 목적용 기계 제조업
253840	수젠텍	의료용품 및 의약 관련제품 제조업
185190	수프로	산업용 농·축산물 및 동·식물 도매업
58530	슈펙스비앤피	생활용품 도매업
236200	슈프리마	통신 및 방송 장비 제조업
94840	슈프리마에이치큐	금융업
192440	슈피겐코리아	그외 제품 제조업
99440	스맥	특수 목적용 기계 제조업
33790	스카이문스테크놀로지	통신 및 방송 장비 제조업
159910	스킨앤스킨	화학제품 제조업
115570	스타플렉스	플라스틱제품 제조업
258540	스템랩	자연과학 및 공학 연구개발업
253450	스튜디오드래곤	"영화, 비디오물, 방송프로그램 제작 및 배급업"
8800	스튜디오썸머	"내화, 비내화 요업제품 제조업"
13810	스페코	특수 목적용 기계 제조업
49830	승일	금속 가공제품 제조업
20710	시공테크	전문디자인업
33170	시그네틱스	반도체 제조업
260870	시그넷이브이	"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
48870	시너지이노베이션	의료용 기기 제조업
25320	시노펙스	전자부품 제조업
134790	시디즈	가구 제조업
269620	시스웍	"측정, 시험, 항해, 제어 및 정밀기기 제조업; 광학기기 제외"
131090	시큐브	소프트웨어 개발 및 공급업
232830	시큐센	소프트웨어 개발 및 공급업
16590	신대양제지	"골판지, 종이 상자 및 종이용기 제조업"
29530	신도리코	컴퓨터 및 주변장치 제조업
4970	신라교역	어로 어업
1000	신라섬유	부동산 임대 및 공급업
25870	신라에스지	음·식료품 및 담배 도매업
215600	신라젠	자연과학 및 공학 연구개발업
65350	신성델타테크	가정용 기기 제조업
11930	신성이엔지	반도체 제조업
5390	신성통상	전문 도매업
4170	신세계	종합 소매업
35510	신세계I&C	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
34300	신세계건설	건물 건설업
31430	신세계인터내셔날	"섬유, 의복, 신발 및 가죽제품 소매업"
31440	신세계푸드	음식점업
6880	신송홀딩스	금융업
56000	신스타임즈	소프트웨어 개발 및 공급업
2800	신신제약	의약품 제조업
307180	신영스팩4호	금융 지원 서비스업
5800	신영와코루	봉제의복 제조업
1720	신영증권	금융 지원 서비스업
9270	신원	봉제의복 제조업
17000	신원종합개발	건물 건설업
2700	신일산업	기계장비 및 관련 물품 도매업
12790	신일제약	의약품 제조업
138070	신진에스엠	금속 가공제품 제조업
19170	신풍제약	의약품 제조업
2870	신풍제지	"펄프, 종이 및 판지 제조업"
5450	신한	건물 건설업
293940	신한알파리츠	부동산 임대 및 공급업
257730	신한제3호스팩	금융 지원 서비스업
277480	신한제4호스팩	금융 지원 서비스업
55550	신한지주	금융업
1770	신화실업	1차 철강 제조업
56700	신화인터텍	플라스틱제품 제조업
187270	신화콘텍	"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
4080	신흥	기계장비 및 관련 물품 도매업
243840	신흥에스이씨	일차전지 및 축전지 제조업
108320	실리콘웍스	반도체 제조업
222800	심텍	전자부품 제조업
36710	심텍홀딩스	금융업
160980	싸이맥스	특수 목적용 기계 제조업
217330	싸이토젠	자연과학 및 공학 연구개발업
102280	쌍방울	봉제의복 제조업
3410	쌍용양회공업	"시멘트, 석회, 플라스터 및 그 제품 제조업"
3620	쌍용자동차	자동차용 엔진 및 자동차 제조업
10280	쌍용정보통신	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
4770	써니전자	반도체 제조업
217320	썬테크	"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
122800	썬텍	금속 주조업
208640	썸에이지	소프트웨어 개발 및 공급업
222420	쎄노텍	비금속 광물제품 제조업
37760	쎄니트	1차 철강 제조업
136510	쎄미시스코	특수 목적용 기계 제조업
99320	쎄트렉아이	"항공기,우주선 및 부품 제조업"
49960	쎌바이오텍	기초 의약물질 및 생물학적 제제 제조업
50890	쏠리드	통신 및 방송 장비 제조업
66790	씨씨에스	텔레비전 방송업
222080	씨아이에스	특수 목적용 기계 제조업
4920	씨아이테크	그외 제품 제조업
236030	씨알푸드	"곡물가공품, 전분 및 전분제품 제조업"
103660	씨앗	화학제품 제조업
245450	씨앤에스링크	통신 및 방송 장비 제조업
264660	씨앤지하이테크	특수 목적용 기계 제조업
112610	씨에스윈드	"구조용 금속제품, 탱크 및 증기발생기 제조업"
115530	씨엔플러스	전자부품 제조업
225330	씨엠에스에듀	일반 교습 학원
115480	씨유메디칼	의료용 기기 제조업
189330	씨이랩	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
96530	씨젠	의료용품 및 의약 관련제품 제조업
900120	씨케이에이치	금융업
101240	씨큐브	기초 화학물질 제조업
47920	씨트리	자연과학 및 공학 연구개발업
189540	씨티네트웍스	통신 및 방송 장비 제조업
60590	씨티씨바이오	생활용품 도매업
36170	씨티젠	반도체 제조업
260930	씨티케이코스메틱스	화학제품 제조업
13990	아가방컴퍼니	생활용품 도매업
123860	아나패스	반도체 제조업
25980	아난티	스포츠 서비스업
8700	아남전자	영상 및 음향기기 제조업
58220	아리온	통신 및 방송 장비 제조업
90430	아모레퍼시픽	화학제품 제조업
2790	아모레퍼시픽그룹	금융업
52710	아모텍	전자부품 제조업
74430	아미노로직스	전문 도매업
92040	아미코젠	식품 제조업
83930	아바코	특수 목적용 기계 제조업
149950	아바텍	전자부품 제조업
36010	아비코전자	전자부품 제조업
2030	아세아	회사 본부 및 경영 컨설팅 서비스업
183190	아세아시멘트	"시멘트, 석회, 플라스터 및 그 제품 제조업"
2310	아세아제지	"골판지, 종이 상자 및 종이용기 제조업"
50860	아세아텍	특수 목적용 기계 제조업
246720	아스타	의료용품 및 의약 관련제품 제조업
67390	아스트	"항공기,우주선 및 부품 제조업"
127710	아시아경제	"자료처리, 호스팅, 포털 및 인터넷 정보매개 서비스업"
267850	아시아나IDT	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
20560	아시아나항공	항공 여객 운송업
154030	아시아종묘	작물 재배업
227610	아우딘퓨쳐스	화학제품 제조업
143160	아이디스	통신 및 방송 장비 제조업
54800	아이디스홀딩스	전문 서비스업
60570	아이리버	영상 및 음향기기 제조업
122900	아이마켓코리아	상품 종합 도매업
99190	아이센스	의료용 기기 제조업
214430	아이쓰리시스템	전자부품 제조업
40910	아이씨디	특수 목적용 기계 제조업
68940	아이씨케이	전자부품 제조업
52860	아이앤씨	반도체 제조업
10780	아이에스동서	"내화, 비내화 요업제품 제조업"
69920	아이에스이커머스	무점포 소매업
38880	아이에이	전자부품 제조업
3560	아이에이치큐	"영화, 비디오물, 방송프로그램 제작 및 배급업"
122050	아이엘사이언스	전구 및 조명장치 제조업
101390	아이엠	전자부품 제조업
226350	아이엠텍	전자부품 제조업
78860	아이오케이	"영화, 비디오물, 방송프로그램 제작 및 배급업"
114810	아이원스	특수 목적용 기계 제조업
31310	아이즈비전	전기 통신업
185490	아이진	자연과학 및 공학 연구개발업
59100	아이컴포넌트	전자부품 제조업
149010	아이케이세미콘	반도체 제조업
175250	아이큐어	의약품 제조업
52460	아이크래프트	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
119830	아이텍반도체	"그외 전문, 과학 및 기술 서비스업"
124500	아이티센	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
223220	아이피몬스터	소프트웨어 개발 및 공급업
27360	아주IB투자	금융업
33660	아주캐피탈	금융업
32080	아즈텍WB	"섬유제품 염색, 정리 및 마무리 가공업"
13310	아진산업	자동차 신품 부품 제조업
59120	아진엑스텍	반도체 제조업
23890	아트라스BX	일차전지 및 축전지 제조업
101140	아티스	생활용품 도매업
67160	아프리카TV	소프트웨어 개발 및 공급업
1540	안국약품	의약품 제조업
53800	안랩	소프트웨어 개발 및 공급업
251280	안지오랩	자연과학 및 공학 연구개발업
65660	안트로젠	기초 의약물질 및 생물학적 제제 제조업
271400	알로이스	통신 및 방송 장비 제조업
1780	알루코	1차 비철금속 제조업
260660	알리코제약	의료용품 및 의약 관련제품 제조업
2250	알보젠코리아	의약품 제조업
131370	알서포트	소프트웨어 개발 및 공급업
140670	알에스오토메이션	전자부품 제조업
96610	알에프세미	반도체 제조업
61040	알에프텍	통신 및 방송 장비 제조업
148250	알엔투테크놀로지	전자부품 제조업
196170	알테오젠	자연과학 및 공학 연구개발업
123750	알톤스포츠	그외 운송장비 제조업
85810	알티캐스트	소프트웨어 개발 및 공급업
117670	알파홀딩스	반도체 제조업
267810	앙츠	컴퓨터 및 통신장비 수리업
18250	애경산업	화학제품 제조업
161000	애경유화	기초 화학물질 제조업
196300	애니젠	기초 의약물질 및 생물학적 제제 제조업
205500	액션스퀘어	소프트웨어 개발 및 공급업
52790	액토즈소프트	소프트웨어 개발 및 공급업
131400	액트	전자부품 제조업
290740	액트로	특수 목적용 기계 제조업
238090	앤디포스	플라스틱제품 제조업
92600	앤씨앤	반도체 제조업
266170	앤유엔터테인먼트	"영화, 비디오물, 방송프로그램 제작 및 배급업"
174900	앱클론	의료용품 및 의약 관련제품 제조업
255440	야스	특수 목적용 기계 제조업
30960	양지사	인쇄 및 인쇄관련 산업
102120	어보브반도체	반도체 제조업
224810	엄지하우스	실내건축 및 건축마무리 공사업
41590	에너전트	전자부품 제조업
19990	에너토크	일반 목적용 기계 제조업
11090	에넥스	가구 제조업
208890	에듀파트너	교육지원 서비스업
41440	에버다임	특수 목적용 기계 제조업
270660	에브리봇	가정용 기기 제조업
38680	에스넷	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
217480	에스디생명공학	화학제품 제조업
121890	에스디시스템	전자부품 제조업
30270	에스마크	방적 및 가공사 제조업
97780	에스맥	통신 및 방송 장비 제조업
73070	에스모	자동차 신품 부품 제조업
42110	에스씨디	가정용 기기 제조업
65420	에스아이리소스	석탄 광업
270210	에스알바이오텍	화학제품 제조업
103230	에스앤더블류	일반 목적용 기계 제조업
260970	에스앤디	식품 제조업
900080	에스앤씨엔진그룹	금융업
101490	에스앤에스텍	전자부품 제조업
95910	에스에너지	"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
275630	에스에스알	소프트웨어 개발 및 공급업
31330	에스에이엠티	기계장비 및 관련 물품 도매업
60540	에스에이티	"측정, 시험, 항해, 제어 및 정밀기기 제조업; 광학기기 제외"
158300	에스에이티이엔지	특수 목적용 기계 제조업
112240	에스에프씨	플라스틱제품 제조업
56190	에스에프에이	특수 목적용 기계 제조업
80000	에스엔유	특수 목적용 기계 제조업
160600	에스엔텍	특수 목적용 기계 제조업
263920	에스엔피월드	그외 제품 제조업
86460	에스엔피제네틱스	자연과학 및 공학 연구개발업
5850	에스엘	자동차 신품 부품 제조업
246250	에스엘에스바이오	과학기술 서비스업
41510	에스엠	오디오물 출판 및 원판 녹음업
299670	에스엠비나	봉제의복 제조업
7820	에스엠코어	일반 목적용 기계 제조업
109610	에스와이패널	"구조용 금속제품, 탱크 및 증기발생기 제조업"
12750	에스원	"경비, 경호 및 탐정업"
123700	에스제이엠	자동차 신품 부품 제조업
25530	에스제이엠홀딩스	금융업
80440	에스제이케이	자동차 신품 부품 제조업
217910	에스제이켐	기초 화학물질 제조업
224020	에스케이씨에스	플라스틱제품 제조업
96630	에스코넥	통신 및 방송 장비 제조업
69510	에스텍	영상 및 음향기기 제조업
41910	에스텍파마	의약품 제조업
234300	에스트래픽	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
39440	에스티아이	특수 목적용 기계 제조업
98660	에스티오	봉제의복 제조업
52020	에스티큐브	전자부품 제조업
237690	에스티팜	의약품 제조업
50760	에스폴리텍	플라스틱제품 제조업
288620	에스퓨얼셀	"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
